null	00:00	01:00	02:00	03:00	04:00	05:00	06:00	07:00	08:00	09:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00
2020-03-01	4	2	1	2	1	2	1	3	4	3	5	4	3	4	7	8	6	5	3	4	2	4	2	2
2020-03-02	3	1	1	1	1	4	1	2	5	2	5	3	5	5	6	8	7	7	6	4	5	5	4	4
2020-03-03	3	2	3	3	1	4	1	2	2	2	6	3	3	7	5	8	4	4	4	5	4	3	2	3
2020-03-04	1	2	3	3	3	1	3	4	5	5	5	6	4	6	6	7	5	6	5	3	4	4	3	4
2020-03-05	3	3	4	3	3	2	4	3	3	3	6	6	4	7	6	5	5	4	3	3	2	3	2	1
2020-03-06	2	2	3	3	1	2	1	4	3	3	4	6	6	7	6	6	4	6	3	3	5	5	3	1
2020-03-07	1	4	2	4	3	4	1	2	5	2	6	4	3	4	7	6	6	4	3	4	4	4	2	4
2020-03-08	1	1	3	2	1	1	4	2	3	5	5	6	3	6	5	7	5	7	6	3	5	5	1	1
2020-03-09	4	4	4	3	3	2	4	4	2	4	3	4	4	4	7	6	6	4	6	3	2	5	2	3
2020-03-10	4	2	3	4	1	2	2	5	3	2	6	4	6	6	5	8	4	5	5	3	5	2	3	3
2020-03-11	2	3	3	2	2	2	2	3	5	2	5	5	4	6	6	8	7	7	5	6	5	4	1	2
2020-03-12	1	2	2	4	1	3	3	5	2	2	4	6	5	4	8	7	4	5	5	6	5	2	1	4
2020-03-13	2	3	3	4	3	4	4	3	5	2	4	4	3	5	8	8	7	4	3	5	4	3	3	1
2020-03-14	4	3	3	4	2	2	4	5	5	4	3	3	5	5	7	5	4	7	5	4	3	4	2	1
2020-03-15	2	4	3	3	1	1	3	4	3	2	4	6	6	7	7	7	6	7	4	6	3	4	1	4
2020-03-16	1	1	3	3	3	4	2	2	4	2	6	5	3	6	6	5	7	5	5	6	2	5	3	1
2020-03-17	3	1	4	4	3	3	2	2	5	4	6	3	5	6	5	6	7	5	3	4	4	2	2	2
2020-03-18	1	4	3	2	3	1	4	2	2	5	6	5	5	4	6	7	5	6	3	5	5	4	1	3
2020-03-19	4	1	3	4	2	1	4	4	3	5	6	4	3	7	5	8	4	4	5	4	5	2	3	2
2020-03-20	3	1	1	4	3	2	1	5	3	2	6	4	5	6	8	7	4	4	5	6	4	3	1	1
2020-03-21	2	4	1	3	3	4	1	5	2	3	6	6	6	6	8	6	7	6	3	4	3	3	2	4
2020-03-22	4	4	4	2	2	1	2	3	4	3	6	4	5	4	8	5	6	7	5	6	3	4	2	3
2020-03-23	2	3	1	1	1	3	2	4	3	2	6	6	6	5	8	7	4	6	5	4	2	3	2	4
2020-03-24	4	3	3	3	3	2	3	2	5	5	3	6	6	4	6	8	4	4	3	6	2	5	3	2
2020-03-25	2	1	2	1	3	4	4	3	5	3	4	3	3	7	7	7	4	5	5	3	3	3	3	1
2020-03-26	3	1	4	2	2	2	3	2	3	3	3	6	6	5	8	8	4	6	3	4	5	2	3	4
2020-03-27	3	2	2	2	3	2	2	3	4	4	4	6	4	5	5	8	5	4	6	4	2	4	3	2
2020-03-28	3	2	3	4	1	4	4	4	3	2	3	5	6	5	7	7	6	6	6	4	4	2	4	4
2020-03-29	1	2	1	2	1	2	4	2	4	2	4	4	4	7	8	8	7	6	3	6	4	4	4	3
2020-03-30	3	3	3	3	1	4	4	3	2	4	6	3	4	5	5	5	5	7	4	6	2	3	4	2
2020-03-31	2	2	3	3	4	2	3	4	2	5	4	5	6	4	7	7	4	6	3	5	2	3	2	3
